English names,Hindi names
Pune,पुणे
Nimbgaon Ketki,निंबगांव केतकी
Lasurne,लासुर्ने
Indapur,इंदापुर
Morgaon,मोरेगांव
Kurkumb,कुरकुंभ
Khadi Machine Chowk,खादी मशीन चौक
Katraj,कटराज
Dhayari Phata,धायरी फाटा
B. D. Kher Chowk,बी. डी. खेर चौक
Yavat,यवत
Mulshi,मुलशी
Sahakar Nagar,सहकार नगर
Sutar Davakhana,सुतार दवाखाना
Ganeshnagar,गणेशनगर
Dattawadi,दत्तवाड़ी
Municipal Colony,म्युनिसिपल कॉलोनी
Swargate,स्वारगेट
Lokmanya Nagar,लोकमान्य नगर
Navi Peth,नवी पेठ
Warkari Chowk,वारकरी चौक
Kunte Chowk,कुंटे चौक
Belbag Chowk,बेलबाग चौक
Ganesh Peth,गणेश पेठ
Kasba Peth,कसबा पेठ
S. G. Barve Chowk,एस. जी. बारवे चौक
Ashoknagar,अशोकनगर
Cavalry Line,कैवलरी लाइन
Mandalay Lines,मंडाले लाइन
Aundh,औंध
Khadki,खड़की
Talegaon Dabhade,तालेगांव दाभाडे
Khandala Exit,खंडाला एक्जिट
Pabal,पाबल
Shirur,शिरूर
Malthan,मल्थन
Khed,खेड
Hundanwadi,हुण्डनवाड़ी
Manchar,मानचर
Bori Budruk,बोरी बुद्रुक
Ambegaon,अंबेगांव
Aalephata Chhatrapati Shivaji Maharaj Chowk,आळेफाटा छत्रपति शिवाजी महाराज चौक
Sarbatwala Chowk,सरबतवाला चौक
Narpatgiri Chowk,नरपतगिरी चौक
Deccan Corner,डेक्कन कॉर्नर
Begdewadi,बेगडेवाड़ी
Lonavala,लोणावळा
Vadgaon,वडगांव
Magar Petrol Pump,मगर पेट्रोल पंप
Buddha-Hall,बुद्धा हॉल
Wakad Chowk,वाकड चौक
"Mayur Retreat , Lupin Learning","मयूर रिट्रीट, लुपिन लर्निंग"
Lion Point,लायन पॉइंट
Reliance Fresh,रिलायंस फ्रेश
McDonald's,मैकडॉनल्ड्स
The Charcoal Pit,द चारकोल पिट
The Great Punjab,द ग्रेट पंजाब
Shisha Jazz Cafe,शीशा जैज़ कैफे
Roshini Petrol Pump,रोशनी पेट्रोल पंप
German Bakery,जर्मन बेकरी
Ozhar,ओझर
Arvi,अर्वी
Patas Phata,पाटस फाटा
Ambale,अंबाले
Karde,कार्दे
Sarawadi,सरवडी
Karegaon,करेगांव
Ranjangaon,रांजणगांव
Belser Phata,बेलसर फाटा
Shel Pimpalgaon,शेल पिंपळगांव
Uruli Kanchan,उरुली कांचन
Theur Phata,थेरूर फाटा
Wagholi,वाघोली
Koregaon,कोरेगांव
Shikrapur,शिक्रापुर
Pune University Teachers Quarters,पुणे यूनिवर्सिटी टीचर्स क्वार्टर्स
Pune Junction,पुणे जंक्शन
Fariyas Resort,फरियास रिज़ॉर्ट
Lagoona,लगूना
Rajkiran Resorts,राजकिरण रिज़ॉर्ट्स
Motiram Hotel,मोतीराम होटल
Sangam World Centre,संगम वर्ल्ड सेंटर
Malavli,मालवली
E-Square Multiplex,ई-स्क्वेयर मल्टीप्लेक्स
